appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop
7,Denny (2012),mt,Ideology: Conservative,0.07,0.21,0.74,-0.35,0.49,66,0.11
8,Epley et al. (2009),original,Age: 18 - 39,0.24,0.17,0.15,-0.09,0.56,177,0.17
8,Epley et al. (2009),original,Age: 40 - 59,0.30,0.17,0.09,-0.04,0.63,214,0.21
8,Epley et al. (2009),original,Age: More than 60,0.35,0.25,0.16,-0.14,0.84,117,0.12
8,Epley et al. (2009),original,Race: White,0.23,0.12,0.06,-0.01,0.48,395,0.39
8,Epley et al. (2009),original,Race: Nonwhite,0.39,0.21,0.06,-0.01,0.80,113,0.11
8,Epley et al. (2009),original,Education: Less than College,0.29,0.13,0.02,0.04,0.53,360,0.35
8,Epley et al. (2009),original,Education: College,0.07,0.27,0.79,-0.47,0.62,93,0.09
8,Epley et al. (2009),original,Education: Graduate School,0.66,0.33,0.05,0.00,1.31,55,0.05
8,Epley et al. (2009),original,Gender: Male,0.45,0.15,0.00,0.16,0.74,259,0.25
8,Epley et al. (2009),original,Gender: Female,0.13,0.15,0.40,-0.17,0.43,249,0.25
8,Epley et al. (2009),mt,Age: 18 - 39,0.10,0.07,0.13,-0.03,0.23,705,0.39
8,Epley et al. (2009),mt,Age: 40 - 59,-0.15,0.16,0.34,-0.47,0.17,155,0.09
8,Epley et al. (2009),mt,Age: More than 60,0.18,0.33,0.60,-0.50,0.85,33,0.02
8,Epley et al. (2009),mt,Race: White,0.05,0.07,0.45,-0.08,0.19,696,0.39
8,Epley et al. (2009),mt,Race: Nonwhite,0.13,0.13,0.32,-0.13,0.38,197,0.11
8,Epley et al. (2009),mt,Education: Less than College,-0.04,0.08,0.65,-0.20,0.12,487,0.27
8,Epley et al. (2009),mt,Education: College,0.19,0.11,0.07,-0.02,0.40,315,0.18
8,Epley et al. (2009),mt,Education: Graduate School,0.21,0.20,0.29,-0.18,0.60,91,0.05
8,Epley et al. (2009),mt,Gender: Male,0.12,0.08,0.14,-0.04,0.27,483,0.27
8,Epley et al. (2009),mt,Gender: Female,0.02,0.10,0.84,-0.17,0.21,410,0.23
9,Flavin (2011),original,Age: 18 - 39,-0.65,0.15,0.00,-0.96,-0.35,219,0.14
9,Flavin (2011),original,Age: 40 - 59,-0.74,0.14,0.00,-1.02,-0.46,300,0.19
9,Flavin (2011),original,Age: More than 60,-0.84,0.15,0.00,-1.15,-0.54,251,0.16
9,Flavin (2011),original,Party ID: Democrat,-0.68,0.12,0.00,-0.91,-0.44,399,0.26
9,Flavin (2011),original,Party ID: Independent,0.05,0.60,0.93,-1.27,1.38,13,0.01
9,Flavin (2011),original,Party ID: Republican,-0.78,0.14,0.00,-1.05,-0.51,358,0.23
9,Flavin (2011),original,Race: White,-0.75,0.10,0.00,-0.95,-0.55,601,0.39
9,Flavin (2011),original,Race: Nonwhite,-0.71,0.17,0.00,-1.04,-0.37,169,0.11
9,Flavin (2011),original,Education: Less than College,-0.87,0.11,0.00,-1.07,-0.66,514,0.33
9,Flavin (2011),original,Education: College,-0.39,0.20,0.06,-0.79,0.01,157,0.10
9,Flavin (2011),original,Education: Graduate School,-0.39,0.24,0.12,-0.87,0.10,99,0.06
9,Flavin (2011),original,Gender: Male,-0.75,0.13,0.00,-1.00,-0.50,389,0.25
9,Flavin (2011),original,Gender: Female,-0.72,0.12,0.00,-0.97,-0.48,381,0.25
9,Flavin (2011),original,Ideology: Liberal,-0.71,0.17,0.00,-1.04,-0.39,209,0.14
9,Flavin (2011),original,Ideology: Moderate,-0.59,0.15,0.00,-0.88,-0.29,277,0.18
9,Flavin (2011),original,Ideology: Conservative,-0.87,0.15,0.00,-1.15,-0.58,284,0.18
9,Flavin (2011),mt,Age: 18 - 39,-0.39,0.07,0.00,-0.53,-0.25,795,0.40
9,Flavin (2011),mt,Age: 40 - 59,-0.57,0.15,0.00,-0.86,-0.27,179,0.09
9,Flavin (2011),mt,Age: More than 60,-0.68,0.49,0.18,-1.68,0.33,29,0.01
9,Flavin (2011),mt,Party ID: Democrat,-0.31,0.07,0.00,-0.45,-0.17,621,0.31
9,Flavin (2011),mt,Party ID: Independent,-0.47,0.16,0.00,-0.79,-0.16,139,0.07
9,Flavin (2011),mt,Party ID: Republican,-0.69,0.14,0.00,-0.97,-0.40,243,0.12
9,Flavin (2011),mt,Race: White,-0.39,0.07,0.00,-0.54,-0.25,766,0.38
9,Flavin (2011),mt,Race: Nonwhite,-0.54,0.12,0.00,-0.78,-0.30,237,0.12
9,Flavin (2011),mt,Education: Less than College,-0.38,0.08,0.00,-0.55,-0.22,545,0.27
9,Flavin (2011),mt,Education: College,-0.43,0.11,0.00,-0.64,-0.22,356,0.18
9,Flavin (2011),mt,Education: Graduate School,-0.65,0.20,0.00,-1.05,-0.25,102,0.05
9,Flavin (2011),mt,Gender: Male,-0.31,0.10,0.00,-0.50,-0.12,497,0.25
9,Flavin (2011),mt,Gender: Female,-0.56,0.08,0.00,-0.72,-0.40,506,0.25
9,Flavin (2011),mt,Ideology: Liberal,-0.34,0.07,0.00,-0.49,-0.20,578,0.29
9,Flavin (2011),mt,Ideology: Moderate,-0.24,0.13,0.06,-0.49,0.01,224,0.11
9,Flavin (2011),mt,Ideology: Conservative,-0.98,0.15,0.00,-1.29,-0.68,201,0.10
10,Gash and Murakami (2009),original,Age: 18 - 39,-0.73,0.22,0.00,-1.16,-0.30,159,0.16
10,Gash and Murakami (2009),original,Age: 40 - 59,-0.51,0.18,0.01,-0.86,-0.15,203,0.20
10,Gash and Murakami (2009),original,Age: More than 60,-0.92,0.20,0.00,-1.33,-0.52,134,0.14
10,Gash and Murakami (2009),original,Party ID: Democrat,-0.89,0.15,0.00,-1.18,-0.60,263,0.27
10,Gash and Murakami (2009),original,Party ID: Independent,-1.62,0.50,0.01,-2.71,-0.53,15,0.02
10,Gash and Murakami (2009),original,Party ID: Republican,-0.38,0.20,0.05,-0.77,0.01,218,0.22
10,Gash and Murakami (2009),original,Race: White,-0.63,0.13,0.00,-0.88,-0.39,384,0.39
10,Gash and Murakami (2009),original,Race: Nonwhite,-0.82,0.26,0.00,-1.34,-0.30,112,0.11
10,Gash and Murakami (2009),original,Education: Less than College,-0.84,0.14,0.00,-1.12,-0.56,358,0.36
10,Gash and Murakami (2009),original,Education: College,-0.41,0.22,0.07,-0.85,0.03,85,0.09
