appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop,n_deposit_formula,prop_deposit_formula
5,Chong and Druckman (2010),mt,Party ID: Republican,0.6883311121177121,0.10586349620478144,3.019844749219534e-10,0.4800596539869605,0.8966025702484638,324,0.23142857142857143,324,0.11571428571428571
5,Chong and Druckman (2010),mt,Race: White,0.642782537477515,0.06428360808770506,1.8576548593031001e-22,0.516629432316841,0.768935642638189,959,0.685,959,0.3425
5,Chong and Druckman (2010),mt,Race: Nonwhite,0.516015740842033,0.094583410374947,8.166772870716072e-8,0.33012316440202694,0.7019083172820392,441,0.315,441,0.1575
5,Chong and Druckman (2010),mt,Education: Less than College,0.6813430297449253,0.07527207123753324,1.4884836113458551e-18,0.533547472277196,0.8291385872126547,677,0.4835714285714286,677,0.2417857142857143
5,Chong and Druckman (2010),mt,Education: College,0.5367695649376336,0.0874771997433091,1.6296718519980715e-9,0.36493509833120663,0.7086040315440606,546,0.39,546,0.195
5,Chong and Druckman (2010),mt,Education: Graduate School,0.5295781794917968,0.16303259289916083,0.00139191093828494,0.20781502244127753,0.8513413365423159,177,0.12642857142857142,177,0.06321428571428571
5,Chong and Druckman (2010),mt,Gender: Male,0.4960925955011305,0.07311453753118835,2.244097578799557e-11,0.3525754891954109,0.6396097018068501,809,0.5778571428571428,809,0.2889285714285714
5,Chong and Druckman (2010),mt,Gender: Female,0.738414652366525,0.07965940893478202,3.4858577743155396e-19,0.5819635924886926,0.8948657122443575,591,0.42214285714285715,591,0.21107142857142858
6,Craig and Richeson (2014),original,Age: 18 - 39,0.22885011161052551,0.16125304031420334,0.15751471917051402,-0.08926990470344603,0.5469701279244972,188,0.3092105263157895,188,0.15460526315789475
6,Craig and Richeson (2014),original,Age: 40 - 59,-0.1395865035421989,0.15688006449740374,0.37450163733865816,-0.4486574971778029,0.16948449009340513,237,0.38980263157894735,237,0.19490131578947367
6,Craig and Richeson (2014),original,Age: More than 60,-0.1816021587278034,0.1505993937129917,0.22944446944146685,-0.4787584129774924,0.1155540955218856,183,0.30098684210526316,183,0.15049342105263158
